Date,Real Home Price Index
1997-09-01,114.5671135
1997-10-01,114.4119682
1997-11-01,114.7795914
1997-12-01,115.2084449
1998-01-01,115.4116562
1998-02-01,115.4753425
1998-03-01,115.9266358
1998-04-01,116.6093286
1998-05-01,117.4656256
1998-06-01,118.399237
1998-07-01,119.1260272
1998-08-01,119.6978262
1998-09-01,120.0027229
1998-10-01,120.0336022
1998-11-01,120.2919354
1998-12-01,120.6864841
1999-01-01,120.7442936
1999-02-01,120.9434909
1999-03-01,121.393983
1999-04-01,121.5809197
1999-05-01,122.771804
1999-06-01,124.0631088
1999-07-01,124.7550825
1999-08-01,125.3592052
1999-09-01,125.4016534
1999-10-01,125.7288221
1999-11-01,126.0571438
1999-12-01,126.5580668
2000-01-01,126.7612222
2000-02-01,126.7342336
2000-03-01,126.816464
2000-04-01,128.0839789
2000-05-01,129.383138
2000-06-01,130.1399823
2000-07-01,130.9110736
2000-08-01,131.9016891
2000-09-01,131.9746186
2000-10-01,132.4763058
2000-11-01,133.0921538
2000-12-01,133.7835083
2001-01-01,133.4587495
2001-02-01,133.4470619
2001-03-01,134.058542
2001-04-01,134.5610401
2001-05-01,135.1051894
2001-06-01,136.1637259
2001-07-01,137.6973149
2001-08-01,138.6146862
2001-09-01,138.5651817
2001-10-01,139.2919307
2001-11-01,139.7180598
2001-12-01,140.534329
2002-01-01,140.6784506
2002-02-01,140.7034566
2002-03-01,141.1287985
2002-04-01,141.8659654
2002-05-01,143.7450715
2002-06-01,145.5027907
2002-07-01,146.949869
2002-08-01,147.696985
2002-09-01,148.355362
2002-10-01,148.8675739
2002-11-01,149.4647626
2002-12-01,150.3961289
2003-01-01,150.3251191
2003-02-01,149.9645323
2003-03-01,150.209703
2003-04-01,151.909148
2003-05-01,153.7328547
2003-06-01,155.1798876
2003-07-01,156.6644964
2003-08-01,157.5993023
2003-09-01,158.372328
2003-10-01,159.5844908
2003-11-01,160.9320078
2003-12-01,162.1085952
2004-01-01,162.5662901
2004-02-01,163.2135507
2004-03-01,164.5102542
2004-04-01,166.3742066
2004-05-01,167.8448574
2004-06-01,169.7774352
2004-07-01,172.1013529
2004-08-01,173.6782811
2004-09-01,174.7704858
2004-10-01,175.1899268
2004-11-01,176.4402964
2004-12-01,178.4093581
2005-01-01,179.6721939
2005-02-01,180.6431431
2005-03-01,182.1769844
2005-04-01,183.6252903
2005-05-01,186.614345
2005-06-01,189.2367908
2005-07-01,190.6450741
2005-08-01,191.6626685
2005-09-01,191.1656661
2005-10-01,192.0084916
2005-11-01,194.5616122
2005-12-01,195.8243843
2006-01-01,195.1200169
